SMILES,shift_value,shielding_value
CC1(C(=O)NC2CC(C(F)(F)F)C[NH]C2=O)CCCC1,-62.0,283.596
CC1NCC(C(F)(F)F)[NH]1,-62.0,286.5106667
Cl.N[C@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,-62.04,284.254
COCC(=O)N1CCSC2CCC(C(F)(F)F)CC21,-62.06,284.1656667
O=C1CCC(C(F)(F)F)CN1CC1CCC2C(C1)OCO2,-62.08,282.2033333
O=C(C1=CCCC1)N1CCN2C(NNC2C(F)(F)F)C1,-62.09,279.4443333
CS(=O)(=O)NC1(C2CCCC(C(F)(F)F)C2)CCC1,-62.13,285.856
CC1CCC(NC(=O)[C@H]2CSCN2)CC1C(F)(F)F.Cl,-62.15,273.613
O=C(CN1CC(C(F)(F)F)CC(Cl)C1=O)N1CCC1,-62.15,282.533
Cl.O=C1CNCCN1CC1CCC(C(F)(F)F)CC1,-62.15,282.537
O=S1(=O)CCCN1CC1CCC(C(F)(F)F)CC1,-62.15,283.731
N#CC1CCCC(CN2CC(C(F)(F)F)CCC2=O)C1,-62.18,283.5856667
Cl.FC(F)(F)C1CCC(C2=CCNCC2)CC1,-62.19,286.3206667
N#CC1CNN(-C2CCC(C(F)(F)F)CC2)C1N,-62.21,279.4213333
O=C(O)CN1CC(Cl)C(C(F)(F)F)N1,-62.21,281.12
CS(=O)(=O)NC1CC(C(F)(F)F)C[NH]C1=O,-62.21,282.8653333
NC(=O)C1CC1C1CCCC(C(F)(F)F)C1,-62.22,275.8046667
O=C(CN1CC(C(F)(F)F)CCC1=O)N1CCOCC1,-62.24,282.4426667
Cl.NC[C@@H]1C[C@H]1C1CCCC(C(F)(F)F)C1,-62.25,284.5116667
O=C(CN1CC(C(F)(F)F)CCC1=O)N1CCNC1=O,-62.26,283.31
NC(=O)N1CCNC(=O)C1C1CCC(C(F)(F)F)CC1,-62.26,284.5716667
O=C(NC1NC(C(F)(F)F)C[NH]1)C1CCCO1,-62.27,285.1033333
O=C(C1CCOCC1)N1CCC2C1CCCC2C(F)(F)F,-62.28,277.686
CCC(=O)N1CCOC(C2CCC(C(F)(F)F)CC2)C1,-62.28,279.3906667
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)O1,-62.3,271.91
N[C@@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,-62.31,284.2073333
CC1(C)CN(C(=O)CC(F)(F)F)C2CCCCC2O1,-62.33,274.6373333
CC1NNC(CN2CC(C(F)(F)F)CC(Cl)C2=O)O1,-62.33,277.517
CC1[NH]NC(C(F)(F)F)C1Cl,-62.35,277.1306667
Cl.NC1(C2CCC(C(F)(F)F)CC2)CCC1,-62.35,283.949
CC1NOC(NC(=O)C2CCCC(C(F)(F)F)C2)N1,-62.36,284.2763333
O=C(O)CC1SC2CCC(C(F)(F)F)CC2NC1=O,-62.36,284.4766667
O=C(NC1CCCC(C(F)(F)F)C1)C1CCCNC1,-62.42,280.087
CC1(C)NC(=O)N(CC2CCCC(C(F)(F)F)C2)C1=O,-62.42,283.8063333
CC1CN(C(=O)CC(F)(F)F)C2CCCNC2O1,-62.43,270.2546667
O=C1NCCN1C1CCCC(C(F)(F)F)C1,-62.45,285.652
CN1NC(C(=O)NC2CCCC(C(F)(F)F)C2)CCC1=O,-62.47,279.719
CC1CC(N)N(-C2CC(C(F)(F)F)CCC2Cl)N1,-62.47,283.951
[H]C1=C(C(F)(F)F)N(C2=CC=CC=C2)N=C1C,-62.5,264.515
[H]C1=C(C)N(C2=CC=CC=C2)N=C1C(F)(F)F,-62.5,269.6196667
CN(C(=O)CC(F)(F)F)C1CCC2C(C1)OCO2,-62.5,274.9323333
CC1NOC(C)C1C(=O)NC1CCCC(C(F)(F)F)C1,-62.5,275.758
FC(F)(F)C1CNCC(CN2CCNC2)C1,-62.5,284.4113333
N#CC1(NC(=O)C2CCCC(C(F)(F)F)C2)CCOCC1,-62.51,283.1676667
NC(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1N,-62.55,284.359
NS(=O)(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1,-62.57,283.3776667
O=C(CC(F)(F)F)N1CC(O)C2(CC2)C1,-62.59,269.7473333
NS(=O)(=O)C1CNCC(C(F)(F)F)C1,-62.6,283.761
CC(N)C1NNC2C(Cl)CC(C(F)(F)F)CN12.Cl,-62.6,284.3846667
CC1CN(C(=O)C2CCC(C(F)(F)F)CC2)C(C)CO1,-62.6,285.2766667
NC1NNC(-C2CCCC(C(F)(F)F)C2)S1,-62.61,275.6873333
CC1CC(C)CN(C(=O)C2CCC(C(F)(F)F)CN2)C1,-62.62,283.5813333
O=C1CC(C(F)(F)F)[NH]N1CC1CCC(Cl)CC1,-62.64,284.279
CS(=O)(=O)N1CCN(C(=O)CC(F)(F)F)CC1,-62.65,274.8936667
CC1CC(NC(=O)C2CCC(C(F)(F)F)CC2)N(C)N1,-62.67,283.682
CC1NCC(C(F)(F)F)CC1C(=O)O,-62.68,283.9966667
O=S(=O)(C1CCCC(C(F)(F)F)C1)N1CCNCC1,-62.68,284.8276667
CN1CNNC1NC(=O)C1CCC(C(F)(F)F)CC1,-62.69,284.3206667
CC(C)(N)C(=O)N1CCN(C(=O)CC(F)(F)F)CC1.Cl,-62.7,270.045
O=C(O)C1NC(C(F)(F)F)N2C1CCCC2,-62.7,289.3283333
CN1C(=O)C[C@H](C(=O)O)[C@H]1C1CCC(C(F)(F)F)CC1,-62.73,283.429
CN1CCN(C(=O)CC(F)(F)F)C(CN)C1.Cl,-62.8,270.061
CNC(=O)N1CCC(CC(F)(F)F)CC1,-62.83,275.6436667
CC1CC2CCCCC2C1NC(=O)CC(F)(F)F,-62.86,274.781
O=C(CC(F)(F)F)N1CCCC2(CC=CCC2)C1,-62.95,274.8163333
O=C(C1CCCNC1O)N1CCC(CC(F)(F)F)CC1,-62.98,274.2633333
FC1=NC2=CC=CC=C2C=C1,-63.0,259.243
CC1=CC(F)=NC(C)=N1,-63.0,259.916
CCCCCCCCC1=NC2=CC=CC=C2C(C(F)(F)F)=C1,-63.0,269.217
FC(F)(F)C1=CN=C(Br)C=C1,-63.0,269.3076667
FC(F)(F)C1=CC=CC=C1,-63.0,269.498
FC(F)(F)C1=NC=CC2=CC=CC=C21,-63.0,269.9036667
CN1C(C(F)(F)F)=NC2=C1C=CC=C2,-63.0,271.8293333
FC(F)(F)/C=C/C=C/C1=CC=CC=C1,-63.0,272.926
[H]/C(C1=CC=CC=C1)=C(/[H])C(F)(F)F,-63.0,273.3323333
C=C(CC)CC(F)(F)F,-63.0,274.946
CN(C)C(=O)CC(F)(F)F,-63.0,275.143
N[C@H]1CCN(S(=O)(=O)C2CCC(C(F)(F)F)CC2)C1,-63.0,285.038
Cl.NCC1CNCC(C(F)(F)F)C1,-63.01,269.424
O=C1CCC(C(=O)N2CCC(CC(F)(F)F)CC2)CN1,-63.01,273.413
OCCC1CCCNC1C(F)(F)F,-63.02,279.8763333
O=C(C1CC=CC1)N1CCC(C(F)(F)F)C2(CCC2)C1,-63.05,277.46
O=C(O)C1NC(C(F)(F)F)N2CCCCC12,-63.13,282.824
CC1CC(N2CCCC(CC(F)(F)F)C2)CCN1,-63.17,274.0066667
O=C(CO)N1CCCC(CC(F)(F)F)C1,-63.2,273.487
FC(F)(F)C1NCC[NH]1,-63.2,288.4363333
CC(C)C1ONC(C(F)(F)F)C1C(=O)O,-63.27,276.8086667
FC(F)(F)C1=CC=CC(C(F)(F)F)=C1,-63.3,269.461
O=C([O-])CC1NC(C(F)(F)F)CS1.[Na+],-63.38,263.0203333
FC(F)(F)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,-63.4,269.4548889
CC1CNC(CN2C(C(F)(F)F)CSC2=O)CN1,-63.44,281.408
O=C1CCN(CC2NC(C(F)(F)F)CS2)CCN1,-63.49,283.3076667
FC(F)(F)C1=CC=C(C(F)(F)F)C=C1,-63.5,269.7158333
FC(F)(F)C1=NC2=CC=CC=C2C2=C1C=CC=C2,-63.5,270.539
CN1CC(NC2CC(C#N)CCC2C(F)(F)F)CCC1=O,-63.52,280.136
CC(=O)N[C@H]1CCCC[C@H]1CC(F)(F)F,-63.56,273.718
C[C@@H]1OCCN(C(=O)C2CCN(C)N2)[C@@H]1C(F)(F)F,-63.78,270.339
CC1NCN(CC2CCCNC2C(F)(F)F)N1,-63.96,280.6453333
FC(F)(F)C1CSC(CN2CCNCC2)N1,-63.96,282.5966667
FC1=NC=NC2=CC=CC=C21,-64.0,261.827
