SMILES,shielding_value,shift_value
O=C1CC(C(F)F)=NN1,321.842,-112.56
O=S(=O)(Cl)C(F)F,307.552,-114.0
C[Si](C)(C)C(F)(F)[Si](C)(C)C,349.364,-137.0
NCCC(F)(F)F,273.9043333,-66.0
CC1[NH]NC(C(=O)NC2(C(F)F)CC2)C1C,333.84,-120.74
NC(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1N,284.359,-62.55
[H]/C(C(C)=O)=C(/[H])C(F)(F)F,274.917,-65.0
O=C(O)CN1CCCC(C(F)(F)F)C1=O,272.875,-66.97
[H]C(F)(Br)C(=O)OCC,356.262,-151.0
O=S(=O)(CCC(F)(F)F)N1CCOCC2(CC2)C1,277.0873333,-65.55
[H]/C(C1=CC=CS1)=C(/[H])C(F)(F)F,272.939,-64.0
O=C(NC1NNC(C(F)(F)F)[NH]1)C1CCCO1,286.7986667,-64.32
O=C(O)C1CCCN1CC(F)(F)F,279.985,-68.77
FC1=COC2=CC=CC=C12,371.349,-177.0
OCC(F)(F)C1=CC=CC=C1,319.877,-107.9
CC1(F)CCCN(CC2CSNN2)C1,347.701,-148.4
N[C@@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,284.2073333,-62.31
CCOC(=O)C(F)(F)C1=CC=CC=C1,320.9945,-104.0
CC1C(=O)NCCCN1CC(F)(F)F,282.6396667,-71.07
CCC(O)C(F)(F)CC,327.5525,-111.8
FC(F)(F)C1=CC2=CC=CC=C2C=C1,269.376,-62.0
O=C1CCCCC1(F)F,323.0475,-111.0
FC(F)C1=CC=CC=C1,327.937,-115.0
FC1=C(C2=CC=CC=C2)OC2=CC=CC=C21,365.458,-170.0
CC1CCC(C(F)(F)F)CC1NC(=O)C1CCCN1,279.502,-62.0
CC(C)C(F)(F)C(C)C,324.1775,-120.0
CCC(F)(F)CC,319.7215,-102.4
O=C(O)C1CCCC(C(F)F)N1,339.4575,-116.69
OCCCC(F)(F)F,278.307,-67.4
CC1(F)CCN(C(=O)N2CCOCC2)C1,364.144,-143.6
CCN1NCNC1CN1CCCC(C)(F)C1,374.278,-147.64
CC1(C(=O)N2CCCC2CF)COC1,445.717,-229.29
CCOC(=O)C(F)C1=CC=CC=C1,408.707,-180.0
NC(=O)N1CCNC(=O)C1C1CCC(C(F)(F)F)CC1,284.5716667,-62.26
[H]C1=C(C(F)(F)F)N(C2=CC=CC=C2)N=C1C,264.515,-62.5
Cl.O=C1CNCCN1CC1CCC(C(F)(F)F)CC1,282.537,-62.15
FCC(Cl)(Cl)Cl,399.249,-198.0
Cl.NCC1CCCC(C(F)(F)F)O1,284.8596667,-74.66
CC1CNC(N2C[C@@H](F)C[C@H]2CO)S1,373.091,-169.72
CC1CCC(NC(=O)[C@H]2CSCN2)CC1C(F)(F)F.Cl,273.613,-62.15
FC(F)C1=CC=CS1,316.7765,-102.0
FC(F)(F)C1CC(CN2CCCC2)N[NH]1,284.818,-61.54
[H]C([H])=C(F)C(C)=O,308.877,-116.0
CC(F)F,320.509,-110.0
CC1NSC(N(C)CC(F)F)N1,331.815,-122.45
O=C(C1CCCO1)C(F)(F)C1=CC(Cl)=CC=C1,317.3875,-102.0
CCCCCCCC(O)OCC(F)(F)F,281.3926667,-74.0
CC(=O)NC1CC(C)NN1-C1CCCCC1C(F)(F)F,277.15,-60.5
CC1CCN(C(=O)N2CC(CF)C2)CC1,439.37,-227.07
CC1CCC(CN2CCCC(C)(F)C2)NN1,346.166,-148.03
CN1CC(N)C(C(F)(F)F)N1,277.1376667,-60.66
O=C(O)C1COC(C(F)F)C1,336.5365,-114.92
O=C(NC1CC(C(F)(F)F)CCN1)C1CSCN1,284.8776667,-64.85
O=C1NC(=O)N(CC(F)(F)F)C1=O,279.1613333,-72.78
N#CC1=CC=C(F)C=C1,291.686,-104.0
CC1NOC(NC(=O)C2CCCC(C(F)(F)F)C2)N1,284.2763333,-62.36
[H]C1=CC=C(SC(F)F)C=C1,298.733,-90.0
FC(F)C1CCN(C2CNCCN2)CC1,333.645,-124.08
CN1NNC(CO)C1C(F)F,334.0315,-116.1
CCC1CCNC(C(=O)N2CC(CF)C2)C1,440.041,-228.22
CC1CC(O)NC(C(F)(F)F)N1,290.2586667,-71.09
Cl.OC1(C(F)F)CNC1,349.4915,-134.79
FC1=NC=CC=N1,244.226,-44.0
FC1=CSC=C1,327.816,-131.0
CC1C(N2C(=O)CN(C3CC3)C2=O)CCCC1C(F)(F)F,277.858,-60.98
CC1(C)CCN(C2NCC(C(F)F)CN2)C1,334.293,-110.58
[H]/C(CCCC)=C(/[H])C(F)(F)F,265.955,-59.0
O=S(=O)(C1CC1)N1CCC[C@@H]1C(F)F,327.5695,-125.87
[H]C1=NC(C(F)(F)F)=NC([H])=C1[H],275.877,-71.0
Cl.N=C1SCCN1CC1CCCCC1F,346.975,-117.54
