SMILES,shielding_value,shift_value
CC1=CC=C(C2=C(C(F)F)C=CO2)C=C1,317.816,-106.0
O=C(C1CC1)N1CCOC(C2CCCCC2C(F)(F)F)C1,273.4513333,-58.36
CC(CC(=O)N1CCCC1)C1CCCC(F)C1,378.738,-113.86
CC1NOC(CNC2CCCC(C)C2F)N1,422.848,-139.62
O=C(NC1CCC(F)CC1)NC1CCCC2C1CCNC2,388.522,-119.14
CC1CC(F)CCC1S(=O)(=O)NCC1CC1,387.641,-106.9
O=C([O-])CC1NC(C(F)(F)F)CS1.[Na+],263.0203333,-63.38
CCCC(F)(F)F,278.7166667,-68.0
CCC(F)(F)C(=O)OC,326.1225,-108.0
CN(C)C(=O)CC(F)(F)F,275.143,-63.0
CC1CCC(F)C(NC(=O)C2(C)CNC2)C1,385.682,-128.34
CC(=O)NC1CCN(C(=O)C2CCC(F)C(C)C2)CC1,391.357,-114.85
CC(C)(O)CN1CCN(C2CCCCC2F)CC1,386.862,-123.18
CCN1C(=O)C(=O)N(CC2CCCC(F)C2)C1=O,385.15,-113.26
NC(=O)[C@@H]1C[C@@H](F)CN1,374.36,-175.22
O=C(O)C1CC(F)C2NCCCC2C1,372.754,-127.56
FC1=C2C=CC=NC2=CC=C1,314.055,-123.0
O=C(NCC(F)(F)F)C1COC2CCCCC2O1,282.1923333,-72.17
CCCCCCCCC(F)C#N,412.209,-179.0
CCCCCCCCC1=CC=C(F)O1,313.984,-118.0
CCCCCCCCC1=NC2=CC=CC=C2C(C(F)(F)F)=C1,269.217,-63.0
O[C@@H]1CCCC[C@H]1C1CCCCC1F,392.408,-119.86
CC1(F)CCCN(C(=O)C2CCCNC2)C1,350.135,-152.48
O=C(C1CCNCC1F)N1CCSC2(CCCCC2)C1,392.206,-129.02
CCCC/C(F)=C/CO,289.572,-106.0
[H]/C(C(=O)O)=C(/[H])C(F)(F)F,275.1873333,-66.0
FC1=NC=NC2=CC=CC=C21,261.827,-64.0
FCF,342.932,-148.0
C/C=C/C(C)F,382.722,-87.0
CC(=O)N(C)C1CCN(C2CCC(C#N)CC2F)CC1,382.402,-120.02
CCN1CNCC1CN1CCCC(C)(F)C1,349.626,-147.63
CN1CCCC1CNC(=O)N1CC(F)C1,384.977,-180.61
Cl.N[C@@H]1CC2CCCCC2O[C@H]1C(F)(F)F,287.9023333,-75.1
C[C@@H]1CN(C(=O)NC2CCC(F)CN2)C[C@H](C)O1,400.994,-133.66
O=C(N1CC(O)C1)C1(C2CCC(F)CC2)CCCC1,377.611,-116.5
Cl.NCC1CNCC(C(F)(F)F)C1,269.424,-63.01
CC1CCN(CC2CCCC(F)C2)C(=O)C1C#N,388.704,-112.89
CC1(C(=O)NCC2CCC(F)CC2)COC1,380.811,-115.98
CCN(C1CC1)S(=O)(=O)C1CC(C)CCC1F,385.932,-114.27
CCC1(O)CCN(C2NCCCC2F)CC1,384.892,-126.76
CC1CCC(F)CC1S(=O)(=O)N1CCN[C@H](C)C1.Cl,397.351,-115.09
O=C(O)C1NC(C(F)(F)F)N2CCCCC12,282.824,-63.13
N#CC1(C(=O)N2CCC(CF)CC2)CCC1,425.002,-223.64
[H]C1=NNC([H])=C1F,376.034,-181.0
CC1(C2CCCCC2F)CNC1=O,377.86,-116.4
CCCCC1=C(C2=CC=CC=C2)NN=C1F,333.17,-133.0
CCC(F)(F)C1=CC=CC=C1,319.616,-98.0
CC1CC(NC(=O)NC(C)C2CCC(F)CC2)NO1,378.133,-116.16
COC1CC(NC(=O)C2CCOC2)CCC1F,412.511,-139.42
CS(=O)(=O)NCC1(C2CCC(F)CC2)CCOCC1,376.642,-116.96
Cl.FC1CCCCC1COC1CNC1,395.057,-119.29
F/C=C/Cl,310.602,-128.0
FC(F)C1CNC(NC2CC23CC3)NC1,335.067,-110.71
FC1CCCNC1N1CCCSCC1,387.902,-131.69
FC(F)(F)C1=NC=CN=C1,274.3186667,-67.0
CC(C)C(=O)CC(F)(F)N=[N+]=[N-],274.8665,-70.0
O=C(C1CCOCC1)N1CCC2C1CCCC2C(F)(F)F,277.686,-62.28
FC(F)(F)C1=CC2=CC=CC=C2N1,266.7906667,-61.0
O=S(=O)(NC1CCCC2OCCC21)C1CCCC(F)C1,377.441,-110.14
COC1CN(C(=O)CC2NCCCC2F)C1,396.719,-123.87
COC1CC(F)CCC1NC(=O)C1CCCN1C,387.548,-113.52
CCCCCCC(F)(F)F,278.7546667,-68.0
CN(CC1CCCNC1)C(=O)NC1CCNCC1F,392.639,-140.78
FC(Br)=C(C1=CC=CC=C1)C1=CC=CC=C1,261.11,-71.0
CC1CC(N)CNC1C(F)F,341.447,-114.81
CN1CCN(C(=O)C2CCN(CC(F)F)N2)CC1=O,330.574,-123.8
CS(=O)(=O)N[C@@H]1C[C@H]1C1CCCCC1F,388.976,-119.94
CN(CC(N)=O)C1NC2CC(F)CCC2O1,377.972,-118.87
CC1NOC(C)C1C(=O)NC1CC1C1CCC(F)CC1,386.721,-117.39
CC1CCCN1C(=O)CN1CNC2CCC(F)CC2C1=O,392.166,-111.44
[H]C#C/C(C1=CC=CC=C1)=C(/[H])C(F)(F)C(=O)OCC,295.3325,-95.0
N#CCCN1NC(-C2CCC(F)CC2)CCC1=O,399.943,-111.43
CC1CC(F)CCC1NC(=O)C1CC1,387.912,-116.09
O=C1CC(C(F)F)=NN1,321.842,-112.56
O=C1CC(C(F)(F)F)CN[NH]1,283.1303333,-65.95
FC(F)(F)C1CNC(N2CCOCC2)C(Cl)C1,283.9086667,-61.5
FC(F)(F)C1CC1,277.5243333,-84.0
O=S(=O)(NC1NCCCC1F)C1CCC2C(C1)CCC2,395.857,-131.79
O=C(O)CC1CCN(C(F)F)N1,314.4685,-94.85
NS(=O)(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1,283.3776667,-62.57
CC1CC(CN2NC(C(F)(F)F)NC2C)NO1,285.521,-65.51
COC1CC2C(=O)[NH]CNC2CC1F,387.614,-123.13
