SMILES,shift_value,split
[H]C1=C(C(F)(F)F)N=NN1C1=CC=CC=C1,-60.0,Train
CC(F)CCN1CCCC2(CCOCC2)C1,-171.53,Train
CN1C=CC=C1C(F)(F)S(=O)(=O)C1=CC=CC=C1,-97.0,Train
CC(O)CC(F)(F)F,-64.8,Train
CN1CCN(C(=O)CC(F)(F)F)C(CN)C1.Cl,-62.8,Train
CC1=CC=C(S(=O)(=O)OC(F)(F)F)C=C1,-54.0,Train
O=C(C1CCC(OC(F)(F)F)CC1)N1CCC(O)CC1,-57.79,Train
O=C(O)C1NC(C(F)(F)F)N2CCCCC12,-63.13,Train
Cl.NC(C1CCCO1)C(F)(F)F,-75.37,Train
CN(C(=O)C1CCCC(C(F)F)C1)C1CNN(C)C1,-110.85,Train
CC(F)CCO,-173.0,Train
Cl.FC(F)(F)C1CCNC(C2CNC2)N1,-69.84,Train
[H]C1(C(F)(F)F)CCCCC1,-75.0,Train
FC(Cl)(Br)CC1=CC=CC=C1,-52.0,Train
O=CCCC(F)(F)F,-66.0,Train
[H]C(=O)C(F)CCCCCCCC,-199.0,Train
CC(=O)NC1CC(C(F)(F)F)NO1,-64.09,Train
FC1CCCC1,-171.0,Train
CCC(F)(F)C1=CC=CC=C1,-98.0,Train
OC[C@@H]1CC2CCCCC2O[C@H]1C(F)(F)F,-75.38,Train
CC1NN(C)C2SC(C(=O)NCC(F)(F)F)CC12,-71.96,Train
FC(F)(F)C1CSC(CN2CCNCC2)N1,-63.96,Train
FC(F)(F)C1CCCN(C2CNCCN2)C1,-71.87,Train
CCCC/C(F)=C/CO,-106.0,Train
[H]C([H])=C(CCCCCCC)C(F)(F)F,-70.0,Train
CC1CNCC(N2CCCC(C(F)(F)F)C2)N1,-72.43,Train
O=C1CC(C(F)F)=NN1,-112.56,Train
O=S(=O)(Cl)C(F)F,-114.0,Train
C[Si](C)(C)C(F)(F)[Si](C)(C)C,-137.0,Train
NCCC(F)(F)F,-66.0,Train
