SMILES,shift_value,split
CC(O)C1CCCCN1CC1CCC(F)CC1C#N,-111.65,Train
CCOC(=O)C(C)F,-185.0,Train
O=C(NC1CCCCC1F)N1CCC[C@@H]1CO,-126.44,Train
CC1CC(OC2CCCC(F)C2C#N)NCN1,-105.0,Train
CC1CCC(C(=O)N2CC(O)CC2C)CC1F,-117.38,Train
O=CCCC(F)(F)F,-66.0,Train
N#CC1CC(F)CCC1NC(=O)N1CCCC1,-114.63,Train
O=C(CC1CCOC1)N1CCOC(CF)C1,-232.24,Train
CC1CNC(CNC2CCC(F)CC2)NC1,-127.13,Train
FC(F)(F)C1CCNN1C1CCCNC1,-61.43,Train
O=C1CCC2CN(S(=O)(=O)C3CCCCC3F)CCN12,-109.31,Train
CCN1NCNC1CN1CCCC(C)(F)C1,-147.64,Train
CN1CCNC1NC(=O)C1CCCCC1F,-115.13,Train
CC1NOCC1CN1C[C@@H](F)C[C@H]1CO,-167.83,Train
CN(CC1NCNN1C)C1CCCCC1F,-123.27,Train
FC1CCC2C(C1)CNCCO2,-119.8,Train
CS(=O)(=O)C1CCCC(C(N)C2CCC(F)CC2)C1,-115.43,Train
FCCl,-169.0,Train
CCC1CCC2[NH]C(C(=O)O)CC2C1F,-128.96,Train
CC1CC(O)NC(C(F)(F)F)N1,-71.09,Train
Cl.O=C(NC1CNN(-C2CCCCC2)C1)[C@H]1C[C@H](F)CN1,-176.04,Train
O=C(NCC(F)(F)F)C1=CC=CC=C1,-71.0,Train
Cl.O=C(O)CC1CN2CC(F)CCC2N1,-137.38,Train
CC1NC2CC(F)CCC2CC1C(=O)NCC1CC1,-106.9,Train
O=C(CC1CCON1)NC1CNCC(F)C1,-125.01,Train
COC(=O)C(F)(F)C1=CC=CC=C1,-104.3,Train
O=S(=O)(C1=CC=CC=C1)C(F)(F)C1=CC=CO1,-102.0,Train
NC(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1N,-62.55,Train
FC1CCC1,-160.0,Train
C[Si](C)(C)F,-158.0,Train
CC(C)(O)C1CCCN1C1CCC(C(F)(F)F)CN1,-60.85,Train
CC1CC(NCC2NCCN2C)CCC1F,-131.32,Train
CC1CCCN(C(=O)CNC(=O)C2CCCCC2F)C1,-114.52,Train
CC1NCC(C(F)(F)F)[NH]1,-62.0,Train
OC1NCN(-C2CCC(C(F)(F)F)CC2)N1,-61.7,Train
FC(F)(F)C1=NCCO1,-70.0,Train
CC1(CC(F)(F)F)CN(C(=O)C2CCNC2=O)C1,-61.7,Train
O=C1CC2C(Cl)CCC(F)C2N1,-135.55,Train
CCN(CCF)C1=CC=CC=C1,-193.0,Train
NC(=O)[C@@H]1C[C@@H](F)CN1CC1CCCC2C1CCOC2,-170.53,Train
CCC(CC)CF,-226.0,Train
FC1(F)CCCCCCC1,-91.5,Train
O=C(NC1CCC(F)CN1)C1=CCOCC1,-130.96,Train
CC1CCC(C(=O)NCC2(O)CCOCC2)CC1F,-116.9,Train
C/C=C/F,-128.0,Train
O=C1NC(=O)C2(CCN(C(=O)C3CCCC(F)C3)CC2)N1,-112.07,Train
[H]C1=C(F)OC(F)=C1[H],-123.0,Train
N#CC1CC(F)CCC1NC(=O)N1CCOCC1,-114.34,Train
O=C(CN1CCNC1)NC1CCCC(F)C1,-112.03,Train
O=C1CC(C(F)(F)F)=NC2CCCCC2N1,-73.42,Train
CC1=CC=C(C2=C(C(F)F)C=CO2)C=C1,-106.0,Train
O=C(C1CC1)N1CCOC(C2CCCCC2C(F)(F)F)C1,-58.36,Train
CC(CC(=O)N1CCCC1)C1CCCC(F)C1,-113.86,Train
CC1NOC(CNC2CCCC(C)C2F)N1,-139.62,Train
O=C(NC1CCC(F)CC1)NC1CCCC2C1CCNC2,-119.14,Train
CC1CC(F)CCC1S(=O)(=O)NCC1CC1,-106.9,Train
O=C([O-])CC1NC(C(F)(F)F)CS1.[Na+],-63.38,Train
CCCC(F)(F)F,-68.0,Train
CCC(F)(F)C(=O)OC,-108.0,Train
CN(C)C(=O)CC(F)(F)F,-63.0,Train
CC1CCC(F)C(NC(=O)C2(C)CNC2)C1,-128.34,Train
CC(=O)NC1CCN(C(=O)C2CCC(F)C(C)C2)CC1,-114.85,Train
CC(C)(O)CN1CCN(C2CCCCC2F)CC1,-123.18,Train
CCN1C(=O)C(=O)N(CC2CCCC(F)C2)C1=O,-113.26,Train
NC(=O)[C@@H]1C[C@@H](F)CN1,-175.22,Train
O=C(O)C1CC(F)C2NCCCC2C1,-127.56,Train
FC1=C2C=CC=NC2=CC=C1,-123.0,Train
O=C(NCC(F)(F)F)C1COC2CCCCC2O1,-72.17,Train
CCCCCCCCC(F)C#N,-179.0,Train
CCCCCCCCC1=CC=C(F)O1,-118.0,Train
CCCCCCCCC1=NC2=CC=CC=C2C(C(F)(F)F)=C1,-63.0,Train
O[C@@H]1CCCC[C@H]1C1CCCCC1F,-119.86,Train
CC1(F)CCCN(C(=O)C2CCCNC2)C1,-152.48,Train
O=C(C1CCNCC1F)N1CCSC2(CCCCC2)C1,-129.02,Train
CCCC/C(F)=C/CO,-106.0,Train
[H]/C(C(=O)O)=C(/[H])C(F)(F)F,-66.0,Train
FC1=NC=NC2=CC=CC=C21,-64.0,Train
FCF,-148.0,Train
C/C=C/C(C)F,-87.0,Train
CC(=O)N(C)C1CCN(C2CCC(C#N)CC2F)CC1,-120.02,Train
CCN1CNCC1CN1CCCC(C)(F)C1,-147.63,Train
CN1CCCC1CNC(=O)N1CC(F)C1,-180.61,Train
Cl.N[C@@H]1CC2CCCCC2O[C@H]1C(F)(F)F,-75.1,Train
C[C@@H]1CN(C(=O)NC2CCC(F)CN2)C[C@H](C)O1,-133.66,Train
O=C(N1CC(O)C1)C1(C2CCC(F)CC2)CCCC1,-116.5,Train
Cl.NCC1CNCC(C(F)(F)F)C1,-63.01,Train
CC1CCN(CC2CCCC(F)C2)C(=O)C1C#N,-112.89,Train
CC1(C(=O)NCC2CCC(F)CC2)COC1,-115.98,Train
CCN(C1CC1)S(=O)(=O)C1CC(C)CCC1F,-114.27,Train
CCC1(O)CCN(C2NCCCC2F)CC1,-126.76,Train
CC1CCC(F)CC1S(=O)(=O)N1CCN[C@H](C)C1.Cl,-115.09,Train
O=C(O)C1NC(C(F)(F)F)N2CCCCC12,-63.13,Train
N#CC1(C(=O)N2CCC(CF)CC2)CCC1,-223.64,Train
[H]C1=NNC([H])=C1F,-181.0,Train
CC1(C2CCCCC2F)CNC1=O,-116.4,Train
CCCCC1=C(C2=CC=CC=C2)NN=C1F,-133.0,Train
CCC(F)(F)C1=CC=CC=C1,-98.0,Train
CC1CC(NC(=O)NC(C)C2CCC(F)CC2)NO1,-116.16,Train
COC1CC(NC(=O)C2CCOC2)CCC1F,-139.42,Train
CS(=O)(=O)NCC1(C2CCC(F)CC2)CCOCC1,-116.96,Train
Cl.FC1CCCCC1COC1CNC1,-119.29,Train
F/C=C/Cl,-128.0,Train
FC(F)C1CNC(NC2CC23CC3)NC1,-110.71,Train
FC1CCCNC1N1CCCSCC1,-131.69,Train
FC(F)(F)C1=NC=CN=C1,-67.0,Train
CC(C)C(=O)CC(F)(F)N=[N+]=[N-],-70.0,Train
O=C(C1CCOCC1)N1CCC2C1CCCC2C(F)(F)F,-62.28,Train
FC(F)(F)C1=CC2=CC=CC=C2N1,-61.0,Train
O=S(=O)(NC1CCCC2OCCC21)C1CCCC(F)C1,-110.14,Train
COC1CN(C(=O)CC2NCCCC2F)C1,-123.87,Train
COC1CC(F)CCC1NC(=O)C1CCCN1C,-113.52,Train
CCCCCCC(F)(F)F,-68.0,Train
CN(CC1CCCNC1)C(=O)NC1CCNCC1F,-140.78,Train
FC(Br)=C(C1=CC=CC=C1)C1=CC=CC=C1,-71.0,Train
CC1CC(N)CNC1C(F)F,-114.81,Train
CN1CCN(C(=O)C2CCN(CC(F)F)N2)CC1=O,-123.8,Train
CS(=O)(=O)N[C@@H]1C[C@H]1C1CCCCC1F,-119.94,Train
CN(CC(N)=O)C1NC2CC(F)CCC2O1,-118.87,Train
CC1NOC(C)C1C(=O)NC1CC1C1CCC(F)CC1,-117.39,Train
CC1CCCN1C(=O)CN1CNC2CCC(F)CC2C1=O,-111.44,Train
[H]C#C/C(C1=CC=CC=C1)=C(/[H])C(F)(F)C(=O)OCC,-95.0,Train
N#CCCN1NC(-C2CCC(F)CC2)CCC1=O,-111.43,Train
CC1CC(F)CCC1NC(=O)C1CC1,-116.09,Train
O=C1CC(C(F)F)=NN1,-112.56,Train
O=C1CC(C(F)(F)F)CN[NH]1,-65.95,Train
FC(F)(F)C1CNC(N2CCOCC2)C(Cl)C1,-61.5,Train
FC(F)(F)C1CC1,-84.0,Train
O=S(=O)(NC1NCCCC1F)C1CCC2C(C1)CCC2,-131.79,Train
O=C(O)CC1CCN(C(F)F)N1,-94.85,Train
NS(=O)(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1,-62.57,Train
CC1CC(CN2NC(C(F)(F)F)NC2C)NO1,-65.51,Train
COC1CC2C(=O)[NH]CNC2CC1F,-123.13,Train
CC1C(Cl)C(C(F)F)NN1CC(=O)O,-115.72,Train
O=C1NCCN1CC1CCCC(F)C1,-113.44,Train
CC1NOCC1CN1CCCC1CF,-222.48,Train
CN1CCC2C(CCCN2C2CCCC(F)C2C#N)C1,-106.37,Train
[H]C([H])=C(C(F)(F)F)C(F)(F)F,-65.7,Train
CC1CC(F)CC(C(=O)NC(C)C2NCON2)C1,-113.44,Train
CCC(=O)NC1CCC(C(F)(F)F)NN1,-66.65,Train
CN(CC(F)(F)F)[C@H]1CC[C@H](O)CC1,-69.88,Train
N#CCCN1CCC(C(F)(F)F)N1,-61.71,Train
O[C@@H]1CCN(C2NC3C(F)CCCC3O2)C1,-131.73,Train
N#CC1CNC(NC2CC23CC3)C(F)C1,-137.43,Train
COC1CCCC(C2(N)CCOCC2)C1F.Cl,-135.16,Train
CC1OCCC1C(=O)N(C)CC1CCC(F)CC1,-115.39,Train
CN1C(C(F)(F)F)=NC2=C1C=CC=C2,-63.0,Train
