SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
CC1ONC(-C2CCC(F)CC2)C1C(=O)N1CCOCC1,-109.63,383.512,398.917211195036,15.405211195036031
O=C(C1CCC(F)CC1)N1CCCC1C1CCCCN1,-109.65,381.889,387.6004050799358,5.711405079935787
O=S(=O)(C1CCCC(F)C1)N1CCCO1,-109.67,386.911,393.7397358738604,6.82873587386041
O=C(C1CCC(F)CC1)N1CCOC(C2CCCS2)C1,-109.69,378.969,386.6761766430812,7.707176643081198
CN(CC1CCC(F)C(C#N)C1)C1CCSC1,-109.69,382.018,391.5013250066464,9.483325006646396
CCC(C)C(=O)N1CCN(C(=O)C2CCC(F)CC2)CC1,-109.83,378.408,398.15624289347306,19.748242893473048
O=C(C1CCC(F)CC1)N1CC[C@@H](O)C1,-109.84,385.853,383.5512572492497,-2.301742750750293
N#CC1CC(F)CC(N2CCOCC2)C1,-109.85,384.438,397.2063936830481,12.768393683048089
O=C(C1CCC(F)CC1)N1CCN(C(=O)C2CC2)CC1,-109.87,381.535,395.1150814151598,13.580081415159782
CC(=O)NC1CCCN(C2CCNC3CC(F)CCC23)C1,-109.93,380.562,389.43538528797086,8.873385287970848
CN1CCN(S(=O)(=O)C2CCCC(F)C2)CC1,-109.95,378.288,383.261263946475,4.973263946475015
CN(CCC#N)C1CCNC2CC(F)CCC12,-109.96,390.185,396.46064180014014,6.275641800140136
O=S(=O)(NC1CCCC2OCCC21)C1CCCC(F)C1,-110.14,377.441,388.9817773910853,11.540777391085271
CN(CC(=O)N1CCCC1)C(=O)C1CCC(F)CC1,-110.14,398.454,399.8195153738056,1.3655153738055787
O=C(NCC1CCCCC1F)NC1CNNS1,-110.15,378.074,392.7427589459024,14.668758945902368
O=S(=O)(CC1CCCCO1)C1CCCC(F)C1,-110.15,378.581,403.154242793586,24.57324279358596
CC1(CNS(=O)(=O)C2CCCC(F)C2)CCNCC1.Cl,-110.2,383.561,392.5812684214253,9.020268421425328
CN1CNCC1CS(=O)(=O)C1CCCCC1F,-110.21,383.261,387.4003462979579,4.1393462979579
COC1CCC(C(=O)NC2CCCC(C)N2)C(F)C1,-110.21,390.46,397.23409162721606,6.77409162721608
O=S(=O)(C1CCCC(F)C1)N1CCCC1,-110.22,385.992,396.2477384458165,10.255738445816462
O=S(=O)(C1CCCC(F)C1)N1CCCCC1,-110.24,369.437,399.01707923906287,29.58007923906285
NS(=O)(=O)C1CNC2CCC(F)CC2C1,-110.27,398.279,403.6863430984448,5.407343098444812
OCC1CC(F)CCC1-N1CNCN1,-110.49,389.77,398.1952618844719,8.425261884471865
CC1CC(C(=O)NC2CC(C(N)=O)N(C)C2)CCC1F,-110.51,375.721,401.4533487929272,25.732348792927155
FC1CCCCC1-C1NNC(CN2CCCCC2)O1,-110.55,402.507,391.7150001469015,-10.79199985309856
CC(O)CNC1CCC2CCC(F)CC2N1,-110.56,380.079,389.00373503712666,8.924735037126652
CN1CCC(N(C)C(=O)C2CCC(F)CC2)CC1,-110.56,381.587,387.5616163808641,5.97461638086412
N#CC1CNN(-C2CCCC(F)C2)C1N,-110.6,381.503,391.0270762794875,9.52407627948753
CN(C)C(=O)C1CCCN1C1CCC2CCC(F)CC2N1,-110.61,380.496,384.330420040884,3.8344200408840265
CN(CCC#N)C1CCC2CCC(F)CC2N1,-110.65,399.881,402.8351611542936,2.954161154293672
C[C@@H]1CN(CC2C(F)CCCC2Cl)CCN1,-110.79,379.437,391.537912468858,12.100912468857985
O=C(O)C1CN(C(=O)C2CCC(F)CC2)CCS1,-110.82,382.08,384.1621590857327,2.0821590857327124
