SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
CN1CC(CNC(=O)NC2CCCC(F)C2)CN1,-112.53,372.725,383.948,11.222999999999956
CC1NC(CNC(=O)NC2CCCC(F)C2)N[NH]1,-112.53,377.999,385.951,7.951999999999998
O=C(NC1CCCC(F)C1)N[C@H]1C[C@@H](O)C1,-112.53,378.464,389.014,10.550000000000011
O=C(NC1CCCC(F)C1)N[C@@H]1C[C@H]1CO,-112.53,397.436,389.114,-8.322000000000003
CC1NN(-C2CCC(F)CC2)C(N)C1C(N)=O,-112.54,383.616,387.294,3.677999999999997
CC1OCNC1C(=O)NC1CCC(S(C)=O)C(F)C1,-112.55,383.237,401.246,18.008999999999958
CCNC(=O)N1CCN(CC2CCC(F)CC2C#N)CC1,-112.58,380.209,392.121,11.911999999999978
CC1NN(-C2CCC(F)CC2)C(C)C1C(=O)NC1CC1,-112.58,385.791,387.529,1.7379999999999995
CC1NCCN1CC1CCCC(C#N)C1F,-112.58,386.435,410.245,23.81
O=C(C1CC(F)CC2CCCNC12)N1CCCCO1,-112.59,389.739,389.739,0.0
CC1NC(C2(NC(=O)C3CCCC(F)C3)CCCC2)NO1,-112.6,381.044,393.342,12.298000000000002
CC(C)(C(=O)N1CCCC(C(=O)O)C1)C1CCCC(F)C1,-112.61,389.903,381.686,-8.217000000000041
FC1CCCC(-C2CNC(CN3CCOCC3)O2)C1,-112.63,380.282,398.649,18.36700000000002
CC(C)(CO)NC(=O)C1CC(F)CC2CCCNC12,-112.66,379.464,388.662,9.19799999999998
O=C(NC1(C2CCCC(F)C2)CCOCC1)C1CCOC1,-112.66,383.072,398.128,15.055999999999983
O=C(NCC1CCOC1)C1CCC(Cl)CC1F,-112.67,400.918,381.353,-19.565
CN1C(=O)N[C@@H]2CN(CC3CCC(F)CC3C#N)CC[C@@H]21,-112.69,390.702,387.892,-2.8100000000000023
O=C1[NH]CCC2CCC(F)CC12,-112.71,383.628,398.621,14.992999999999997
CNC(=O)C1C[NH]NC1-C1CCC(F)CC1,-112.71,384.988,399.674,14.68599999999998
CS(=O)C1NNCN1CC1CCCC(F)C1,-112.71,386.658,384.978,-1.6800000000000068
N#CC1CC(F)CCC1CN1CC(N2CCCN2)C1,-112.72,377.357,391.267,13.909999999999968
CN(CC1CC(F)CC2CCCNC12)S(C)(=O)=O,-112.73,386.668,386.668,0.0
CNC(=O)C1NNN(-C2CCC(F)C(Cl)C2)C1C,-112.73,405.053,388.562,-16.490999999999985
O=S(=O)(CC1CCC(F)CC1)C1NCC[NH]1,-112.74,382.111,400.693,18.581999999999997
CN1NC(C(=O)O)CC1-C1CCC(F)CC1,-112.75,382.018,400.175,18.15700000000004
CC1CN(C(=O)C2CNCN2-C2CCC(F)CC2)CCO1,-112.77,385.987,387.9,1.912999999999954
CC(NC(=O)C1CCC(Cl)CC1F)C1CCNCC1,-112.78,402.522,394.981,-7.540999999999997
N#CC1(C2CCCC(F)C2)CC1,-112.79,398.411,398.411,0.0
CC(C)NC(=O)C1(C2CCCC(F)C2)CCOCC1,-112.8,386.184,397.595,11.411
CC1NN(-C2CCC(F)CC2)C(C)C1C(=O)N1CCC1,-112.81,377.187,399.227,22.039999999999964
O=C1CN(C(=O)NC2CCCC(F)C2)C2CCCCC2N1,-112.81,381.383,396.722,15.339
NC1CC(=O)[NH]N1-C1CCC(F)CC1,-112.81,381.991,401.049,19.057999999999996
O=C(NC1CCCC(F)C1)N1CCC2(O)CCCCC2C1,-112.87,379.891,383.919,4.027999999999963
CC1CC(CN(C)C(=O)NC2CCCC(F)C2)NO1,-112.87,388.148,386.012,-2.136000000000024
CC1CN(C)CCN1CC1CCC(F)CC1C#N,-112.87,400.618,391.377,-9.240999999999984
CC1CCN(CC2CCCC(F)C2)C(=O)C1C#N,-112.89,388.704,397.732,9.02800000000002
CN1NNCC1CNC1CCCC(F)C1,-112.9,375.773,387.625,11.851999999999975
O=C(O)C1(C(=O)NC2CCCC(F)C2)CC1,-112.9,385.609,384.505,-1.103999999999985
CN(CC1CCCC(F)C1)C(=O)C1CCC(O)NC1,-112.9,387.469,384.805,-2.6639999999999877
