feature,importance
ECFP_F_975,0.00020309167381804812
Morgan_888,0.00020265342836369116
ECFP_F_803,0.0002021863938284806
Morgan_163,0.00020012350278457623
ECFP_F_487,0.00020006715332305324
ECFP_F_902,0.00019989036195640908
Morgan_117,0.00019919368160159444
ECFP_F_288,0.000198658560938638
Morgan_118,0.0001982764099720307
Morgan_225,0.00019816137708151418
ECFP_F_219,0.0001942492918969816
Morgan_714,0.0001937882858802538
Morgan_148,0.00019331215286693198
ECFP_F_172,0.00019185822758365772
Morgan_289,0.00019130090491316322
Morgan_444,0.00019083829171255066
ECFP_F_965,0.0001903017017278932
Morgan_881,0.0001892182178692945
Morgan_804,0.00018909674242680635
Morgan_629,0.00018892560550931928
Morgan_98,0.0001886379892606702
Morgan_402,0.00018765963042944572
Morgan_537,0.00018706365631232231
Morgan_534,0.00018700609107835095
Morgan_296,0.00018671842288246437
Morgan_706,0.00018641695853730458
Morgan_381,0.0001863098553151139
Morgan_978,0.00018516034580220658
ECFP_F_336,0.0001850504076009037
Morgan_413,0.00018491981960891283
ECFP_F_551,0.00018304695800685488
Morgan_343,0.00018282758174170463
Morgan_642,0.00018167088697009732
Morgan_10,0.0001813965661814479
Morgan_375,0.00018119948830412313
Morgan_511,0.00018090163399841255
Morgan_141,0.00018073344865553357
Morgan_859,0.00018063114025287198
ECFP_F_518,0.0001802094987485552
Morgan_742,0.00018004410086690795
Morgan_745,0.00017952660894188005
Morgan_547,0.0001795240999965074
Morgan_719,0.00017870877028466577
Morgan_417,0.00017789967499628372
ECFP_F_899,0.00017780604100692726
ECFP_F_395,0.0001775667639457368
Morgan_663,0.00017573915089172693
Morgan_623,0.00017520764941640428
ECFP_F_417,0.00017473241300564353
Morgan_596,0.00017390121116909305
Morgan_463,0.00017309425522114987
Morgan_303,0.0001729144767090296
Morgan_606,0.00017280371744642542
Morgan_873,0.00017227292286189848
ECFP_F_333,0.0001717299797488052
Morgan_834,0.00017079144027164802
Morgan_870,0.00017073613868775366
Morgan_750,0.00017036061280667218
Morgan_662,0.00017003588396786667
ECFP_F_107,0.00017000670326323852
Morgan_292,0.0001688411112563861
Morgan_498,0.0001685205120866778
Morgan_331,0.00016825966828473124
ECFP_F_33,0.00016776646691131348
Morgan_101,0.00016741462457117566
Morgan_353,0.0001669844561891053
ECFP_F_146,0.00016651030090963199
MACCS_58,0.00016554531050844818
Morgan_647,0.000165061669352126
ECFP_F_1020,0.00016411431694866434
Morgan_472,0.00016212906025904553
Morgan_398,0.0001618769414411939
Morgan_812,0.00016045003830337932
ECFP_F_401,0.00015998430185504045
MACCS_51,0.00015956500904089617
Morgan_709,0.00015930140296690595
Morgan_442,0.00015829123502206653
MACCS_68,0.0001578900098670545
ECFP_F_89,0.0001575871627157984
Morgan_185,0.00015733874044976902
Morgan_129,0.00015687177187355425
ECFP_F_839,0.00015664910529600677
Morgan_232,0.00015639194028701088
Morgan_688,0.00015621853469446515
Morgan_83,0.00015529010996549885
Morgan_587,0.00015518766357302
Morgan_500,0.00015443851176718992
Morgan_640,0.00015443013020912324
Morgan_431,0.00015376957071771668
Morgan_911,0.00015329522348402744
Morgan_685,0.00015292184472843727
Morgan_564,0.00015272783416504128
Morgan_889,0.00015201298586413404
Morgan_27,0.00015177923741117736
Morgan_899,0.0001497544326370679
Morgan_863,0.00014935964203932457
Morgan_1004,0.00014924189065522813
Morgan_190,0.00014552654652209317
Morgan_821,0.0001449486162003334
Morgan_352,0.00014460772188001938
Morgan_817,0.0001441801739134807
Morgan_361,0.00014352334943665984
MACCS_74,0.00014350178906484903
ECFP_F_933,0.00014324316043840292
ECFP_F_61,0.00014291397316609563
ECFP_F_278,0.0001427218991597896
Morgan_687,0.00014150817228446367
ECFP_F_855,0.00014150236824488093
Morgan_121,0.00014117050975145424
Morgan_245,0.0001404627603624473
MACCS_64,0.0001403915528193419
ECFP_F_2,0.0001401492776942438
ECFP_F_240,0.0001395190670327069
