mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,rf_branch,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
181.5316301345825,3.4383050441741942,-5.989918227091403,-4.377107915769786,True,1e-06,absolute_error,,0.4,0.7,1e-05,4,5,200,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 0.4, 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 1e-06, 'bootstrap': True}",33,bootstrap_true,-6.763619964028776,-4.288648724489795,-5.890908213429255,-4.3361760954381765,-6.050259472422063,-4.458153121248498,-5.469292548076918,-4.298866736652667,-5.775510937499997,-4.503694901019794,18.41691687730121,1.1983531486478456,0.431063802681823,0.0874239266024796
427.269881439209,6.4476464748382565,-7.774502988205581,-7.215508233450239,True,0.0,absolute_error,10.0,,0.5,1e-05,16,50,1200,"{'n_estimators': 1200, 'min_samples_split': 50, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-05, 'max_samples': 0.5, 'max_features': None, 'max_depth': 10, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",67,bootstrap_true,-8.9119470323741,-7.1832593637454885,-7.814545803357306,-7.193566974289709,-7.5873083633093295,-7.241849469787905,-7.295865755208316,-7.151245580883805,-7.262847986778859,-7.307619778544287,7.0795917541054525,0.755592377574295,0.6035409927330562,0.0544600669060683
117.9436252593994,8.594540977478028,-6.456535107254974,-5.136640429082329,True,0.0,friedman_mse,20.0,0.4,0.9,1e-07,8,2,1200,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",44,bootstrap_true,-7.020949433694299,-4.966473907180996,-6.5688169541903205,-5.166281931444392,-6.353694634388012,-5.15709573660885,-6.2884440909833454,-5.23729562745399,-6.050770423018896,-5.156054942723414,3.210990186077017,0.6140167822752901,0.3270004515669981,0.0902907257069516
9.187085962295532,2.093449163436889,-19.180370519832515,-18.9298247246174,True,0.0,friedman_mse,60.0,log2,0.7,1e-06,8,10,200,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 60, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",99,bootstrap_true,-19.798487187974175,-18.599807550719916,-18.34118101283683,-18.74054632053099,-19.71734099501493,-18.899388273923343,-19.933738820539894,-19.18130205619448,-18.11110458279676,-19.22807942171825,4.784356996385474,1.434510106560094,0.7855619613906368,0.2440740623218625
61.55748529434205,5.72203950881958,-6.487626943183045,-4.916507685807227,True,1e-07,squared_error,80.0,0.2,0.7,1e-07,2,20,800,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",47,bootstrap_true,-7.158309058580846,-4.843336988101609,-6.424246318539042,-4.918994818121645,-6.583076279034508,-4.954597761744077,-6.194515757279998,-4.903925615978618,-6.07798730248083,-4.961683245090185,5.238708612263526,2.235994034434858,0.3785923881288024,0.0424502776255972
19.794536972045897,2.7853477954864503,-6.301073006497982,-5.181160581361529,True,0.0,squared_error,40.0,0.8,0.7,0.0,8,20,200,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 8, 'min_impurity_decrease': 0.0, 'max_samples': 0.7, 'max_features': 0.8, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': True}",41,bootstrap_true,-6.922112243794261,-4.962179085200278,-6.178587535378492,-5.205831115501273,-6.178685599852841,-5.247546687880835,-6.228264016821673,-5.2660383799064885,-5.997715636642647,-5.224207638318767,4.232453872845579,0.5811630694452063,0.3203117060069649,0.111378575904948
156.76543464660645,4.663323974609375,-7.146959618929857,-6.375601608216771,True,1e-07,absolute_error,40.0,,0.7,1e-06,16,20,200,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': None, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",58,bootstrap_true,-8.444403836930457,-6.371555282112844,-7.107318405275776,-6.378378736494597,-6.8925953836930445,-6.384420468187272,-6.596753545673076,-6.277750674865027,-6.693726923076928,-6.465902879424116,46.56383544238216,0.5702777929000147,0.6719792687947338,0.0597176393154651
24.64868030548096,5.136835432052612,-18.013141071507633,-17.5691512540704,True,0.0,squared_error,120.0,log2,0.5,1e-06,4,50,200,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_samples': 0.5, 'max_features': 'log2', 'max_depth': 120, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': True}",97,bootstrap_true,-18.66949473776247,-17.26162649970542,-17.37987045506626,-17.49778221751975,-18.3653528744811,-17.44935640675334,-18.54007717010401,-17.700716637377614,-17.11091012012433,-17.936274508995883,5.095224274715243,1.3932099700478844,0.6399323877795229,0.23069666393816
539.404551076889,2.9593814849853515,-6.147610815708012,-4.869980908112497,True,1e-05,absolute_error,60.0,0.8,0.9,1e-07,8,2,400,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': 0.8, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",34,bootstrap_true,-7.041111031175059,-4.73128284813926,-6.114943764988015,-4.898257337935176,-6.05772353117506,-4.8836914315726245,-5.729034525240388,-4.819886705158965,-5.795241225961537,-5.016786217756457,24.097740260159807,0.3723483163927324,0.470501845667548,0.0941126079615433
931.3171672344208,0.5998783111572266,-5.682031134358114,-3.5107369346652417,True,1e-07,absolute_error,20.0,0.4,0.7,1e-05,1,2,1600,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",29,bootstrap_true,-6.32364633543162,-3.4307666679171085,-5.499261735611482,-3.5133490846338185,-5.666207464028763,-3.533969057623,-5.358692270132162,-3.469377438887167,-5.562347866586543,-3.606222424265118,4.789571636107612,0.1308421291670151,0.335915826841458,0.0596152414127376
