SMILES,shift_value,shielding_value,reg_class,reg_prob,priority_class,residual_to_target_line
CC(C)(O)C1CCCN1C1CCC(C(F)(F)F)CN1,-60.85,283.8543333,0,0.8564169032428555,1,18.89623014449821
Cl.FC(F)(F)C1CCC2C(C1)CCN2,-60.9,266.2063333,0,0.8052132409796157,1,2.812339795580364
OC1CCC(NC2NCC(C(F)(F)F)CC2Cl)CC1,-60.9,283.8936667,0,0.8568188585578326,1,18.88196605919953
CN1NCCC1C(F)(F)F,-60.95,284.6066667,0,0.8602585246504632,1,19.47975412690009
CC1C(N2C(=O)CN(C3CC3)C2=O)CCCC1C(F)(F)F,-60.98,277.858,0,0.8324555084578014,1,13.318329496959414
O=C1CN(C2CCC(C(F)(F)F)CN2)C2CCCCC2N1,-60.98,282.359,0,0.8504222414408806,1,17.40766202531838
OC1CCN(C2CCC(C(F)(F)F)CN2)CC1,-60.98,282.8273333,0,0.852454914448627,1,17.833160936183468
[H]/C=C(/F)Br,-61.0,248.759,0,0.8306854318331467,1,13.139237097734592
FC(F)(F)C1=CNC=C1,-61.0,265.365,0,0.8046583198534952,1,1.9479559629028529
FC(F)(F)C1=CC2=CC=CC=C2N1,-61.0,266.7906667,0,0.8058475570778498,1,3.2432292823669684
FC(F)(F)C1=CSC2=CC=CC=C21,-61.0,268.5516667,0,0.8080749598292077,1,4.843165870334133
CC1(C)CCCN1C(=O)C1NCCCC1C(F)(F)F,-61.0,276.8363333,0,0.8289156808464891,1,12.370105797903364
O=C(NC1CCCCC1C(F)(F)F)N1CCC[C@@H]1CO,-61.01,282.8306667,0,0.8525970025400086,1,17.806189458967246
O=C(NC1CCCCC1C(F)(F)F)N1CCCCN1,-61.05,279.4353333,0,0.8386541696539611,1,14.68139778661812
CN1CC(C(F)(F)F)NN1,-61.06,281.4873333,0,0.8470346579201361,1,16.53571912591883
CCN1NCC(C(=O)O)C1C(F)(F)F,-61.12,281.1336667,0,0.845787441342436,1,16.15439934552021
CC(N)C1CNC(C(F)(F)F)S1.Cl,-61.15,277.3713333,0,0.8312752453918106,1,12.70617398334486
CN(C)C(=O)N1CCC(N2CCC(C(F)(F)F)N2)CC1,-61.28,283.209,0,0.8553642865708061,1,17.87991989003845
CCOC(=O)C(F)(F)Br,-61.3,264.3285,0,0.8041348359469643,1,0.7062556372765272
CC1C(C(F)(F)F)N[NH]C1CO,-61.3,282.0313333,0,0.8502819056700474,1,16.789964159339675
CC1COC2CCC(C(F)(F)F)CC2N1,-61.31,283.93,0,0.8587138775425747,1,18.50497626705396
NC1NC2C(C(F)(F)F)CCCC2S1,-61.32,280.5596667,0,0.8441427353822882,1,15.432898152168056
CC1CN(CC(=O)O)NC1C(F)(F)F,-61.33,277.198,0,0.831203433305854,1,12.36869397847083
CC(=O)N1CCOC2CCC(C(F)(F)F)CC21,-61.35,283.6013333,0,0.8573897528181633,1,18.166369862410956
O=C(O)C1OCNC1C(F)(F)F,-61.36,282.4703333,0,0.8524127170578292,1,17.128812633000976
CC1NC(C(F)(F)F)C(C(=O)O)O1,-61.38,280.0366667,0,0.8422089451743077,1,14.89773243069913
Cl.FC(F)(F)C1CCC(OC2CCNC2)NC1,-61.42,279.577,0,0.8404896723412144,1,14.44010746102272
FC(F)(F)C1CCNN1C1CCCNC1,-61.43,284.0143333,0,0.8595619258689403,1,18.461596330798397
FC(F)(F)C1CNC(N2CCOCC2)C(Cl)C1,-61.5,283.9086667,0,0.859345677353737,1,18.29559413916525
CN1CCC(C(F)(F)F)N1,-61.51,282.6133333,0,0.8535850601270589,1,17.10873366200689
CN1CCN(C(=O)NC2CCC(C(F)(F)F)CC2)CC1,-61.53,284.5716667,0,0.8624857545729671,1,18.867955273646857
CC(C)(O)CN1CC(C(F)(F)F)CC(Cl)C1=O,-61.54,282.9036667,0,0.8549764399643073,1,17.342512781466745
FC(F)(F)C1CC(CN2CCCC2)N[NH]1,-61.54,284.818,0,0.8636580334983558,1,19.08175860102036
CC1(CC(F)(F)F)CN(C(=O)NC2CCCCN2)C1,-61.57,273.1686667,0,0.8188965990098757,1,8.467888883760814
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)S1,-61.6,271.6046667,0,0.8148610488522324,1,7.016934412675816
CC1CCC(NC(=O)N2CC[C@H](O)C2)CC1C(F)(F)F,-61.61,279.911,0,0.8424263330850591,1,14.553559374924518
FC(F)(F)C1CCN(CC2CCON2)N1,-61.64,283.376,0,0.8574401924840489,1,17.671645846989335
N#CC1(CN2CCC(C(F)(F)F)N2)CCC1,-61.65,284.0863333,0,0.8606983836976264,1,18.30701111463353
O=C1CCN1C1CCC(C(F)(F)F)CC1,-61.68,275.969,0,0.8277961022367891,1,10.902099959952048
CN1NC(C(F)(F)F)CC1CO,-61.68,283.2623333,0,0.8570659993090641,1,17.528375255187264
FC(F)(F)F,-61.7,264.872,0,0.8042424571088949,1,0.8000464013652078
CC1(CC(F)(F)F)CN(C(=O)C2CCNC2=O)C1,-61.7,272.2756667,0,0.816674970467007,1,7.526563856472492
OC1NCN(-C2CCC(C(F)(F)F)CC2)N1,-61.7,284.6423333,0,0.8634302541391051,1,18.762158612026937
N#CCCN1CCC(C(F)(F)F)N1,-61.71,282.6093333,0,0.8542492073565706,1,16.905099507349327
O=C1[NH]CCN2NC(C(F)(F)F)CC12,-61.71,283.0603333,0,0.8562601428359555,1,17.3148504449832
CC1CC(C(=O)O)C(C(F)(F)F)O1,-61.73,281.9536667,0,0.8514283301352732,1,16.289401050309003
ON1NNC2CCC(C(F)(F)F)CC21,-61.73,282.471,0,0.8537016343431916,1,16.759418355728563
Cl.FC(F)(F)C1CC2N(N1)CCNC2,-61.75,263.5553333,0,0.8035063552126154,1,0.44619620368195
CC1=NN(C2CCC(C(F)(F)F)CN2)C(=O)C1,-61.76,282.67,0,0.854681212076073,1,16.910217549939482
FC(F)(F)C1CNC(N2CCCO2)C(Cl)C1,-61.78,279.3656667,0,0.8406999419069493,1,13.888102986902451
CC(C(=O)O)N1CCC(C(F)(F)F)N1,-61.81,282.573,0,0.8544090513434605,1,16.77208929949495
O=C(O)C1CCCN2CC(C(F)(F)F)NC21,-61.84,283.9036667,0,0.8605108159517151,1,17.95105144584332
NC(=O)C1(C2CCC(C(F)(F)F)CC2)CC1,-61.86,284.4843333,0,0.8632486363347013,1,18.458609503055428
Cl.NC[C@@H]1C[C@H]1C1CCC(C(F)(F)F)CC1,-61.88,281.0796667,0,0.8480989734417558,1,15.345338257643895
NC1CC(C(F)(F)F)C2CN[NH]C2C1,-61.92,279.3056667,0,0.8408179606085258,1,13.693590667039857
CC(=O)N1CCC(C2CCC(C(F)(F)F)CC2)CC1,-61.92,283.3583333,0,0.8582811369029342,1,17.375594966967427
CC1CC(C(F)(F)F)NN1CCC#N,-61.96,282.7856667,0,0.8558183975362231,1,16.815305219070332
O=C(O)C1CCOC1C(F)(F)F,-61.99,282.2776667,0,0.8536385608374922,1,16.323767577567033
FC(F)(F)C1=CN=CN1,-62.0,265.2923333,0,0.8043030653390574,1,0.8819354563401873
FC(F)(F)C1=NC2=CC=CC=C2S1,-62.0,267.5426667,0,0.807005836561295,1,2.9264503579781547
[H]C1=NNC(C(F)(F)F)=C1[H],-62.0,267.5936667,0,0.8070828206233438,1,2.972785829861408
FC(F)(F)C1=CC2=CC=CC=C2C=C1,-62.0,269.376,0,0.8102005617490252,1,4.592104545717263
FC(F)(F)C1=CC=CN=C1,-62.0,269.484,0,0.8104158032138147,1,4.690226721469941
FC(F)(F)C1=CN=CN=C1,-62.0,269.6186667,0,0.8106883365381717,1,4.812576625223954
[H]C1=NOC(C(F)(F)F)=C1[H],-62.0,270.4526667,0,0.8124776625658197,1,5.57029787131404
C#CC1=CC=C(C(F)(F)F)O1,-62.0,270.9633333,0,0.8136583646079275,1,6.03425822201973
O=C(CC(F)(F)F)C1=CC=CC=C1,-62.0,274.7753333,0,0.8243974548510076,1,9.497607610623248
CC1CCC(C(F)(F)F)CC1NC(=O)C1CCCN1,-62.0,279.502,0,0.8418102007894438,1,13.791967061194498
N#CC1CCC(N2CCS(=O)CC2)CC1C(F)(F)F,-62.0,281.1623333,0,0.8487849881538304,1,15.300444059996437
CC1(C(=O)NC2CC(C(F)(F)F)C[NH]C2=O)CCCC1,-62.0,283.596,0,0.8596094223154065,1,17.511524353152197
CC1NCC(C(F)(F)F)[NH]1,-62.0,286.5106667,0,0.8732362274364845,1,20.15961174387309
Cl.N[C@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,-62.04,284.254,0,0.862758367664721,1,18.069342794312
COCC(=O)N1CCSC2CCC(C(F)(F)F)CC21,-62.06,284.1656667,0,0.8624107832913701,1,17.96908857590995
O=C1CCC(C(F)(F)F)CN1CC1CCC2C(C1)OCO2,-62.08,282.2033333,0,0.8535610448377771,1,16.16623280961248
O=C(C1=CCCC1)N1CCN2C(NNC2C(F)(F)F)C1,-62.09,279.4443333,0,0.8417843211538857,1,13.649574634597457
CS(=O)(=O)NC1(C2CCCC(C(F)(F)F)C2)CCC1,-62.13,285.856,0,0.8705489080292964,1,19.434821734643258
CC1CCC(NC(=O)[C@H]2CSCN2)CC1C(F)(F)F.Cl,-62.15,273.613,0,0.8209305930843209,1,8.291582866680848
O=C(CN1CC(C(F)(F)F)CC(Cl)C1=O)N1CCC1,-62.15,282.533,0,0.8552244218306911,1,16.39574775291991
Cl.O=C1CNCCN1CC1CCC(C(F)(F)F)CC1,-62.15,282.537,0,0.8552423809441155,1,16.399381907577357
O=S1(=O)CCCN1CC1CCC(C(F)(F)F)CC1,-62.15,283.731,0,0.8606716998791132,1,17.484177072843046
N#CC1CCCC(CN2CC(C(F)(F)F)CCC2=O)C1,-62.18,283.5856667,0,0.8600889456480177,1,17.322136150571573
Cl.FC(F)(F)C1CCC(C2=CCNCC2)CC1,-62.19,286.3206667,0,0.8729458598164535,1,19.79698939764154
N#CC1CNN(-C2CCC(C(F)(F)F)CC2)C1N,-62.21,279.4213333,0,0.84195194319405,1,13.508678245316853
O=C(O)CN1CC(Cl)C(C(F)(F)F)N1,-62.21,281.12,0,0.849136158816277,1,15.051982620155805
